SK_ID_CURR,ord
TARGET,cat
NAME_CONTRACT_TYPE,cat
CODE_GENDER,cat
FLAG_OWN_CAR,cat
FLAG_OWN_REALTY,cat
CNT_CHILDREN,ord
AMT_INCOME_TOTAL,num
AMT_CREDIT,num
AMT_ANNUITY,num
AMT_GOODS_PRICE,num
NAME_TYPE_SUITE,cat
NAME_INCOME_TYPE,cat
NAME_EDUCATION_TYPE,cat
NAME_FAMILY_STATUS,cat
NAME_HOUSING_TYPE,cat
REGION_POPULATION_RELATIVE,num
DAYS_BIRTH,num
DAYS_EMPLOYED,num
DAYS_REGISTRATION,num
DAYS_ID_PUBLISH,num
OWN_CAR_AGE,ord
FLAG_MOBIL,cat
FLAG_EMP_PHONE,cat
FLAG_WORK_PHONE,cat
FLAG_CONT_MOBILE,cat
FLAG_PHONE,cat
FLAG_EMAIL,cat
OCCUPATION_TYPE,cat
CNT_FAM_MEMBERS,ord
REGION_RATING_CLIENT,ord
REGION_RATING_CLIENT_W_CITY,ord
WEEKDAY_APPR_PROCESS_START,cat
HOUR_APPR_PROCESS_START,ord
REG_REGION_NOT_LIVE_REGION,cat
REG_REGION_NOT_WORK_REGION,cat
LIVE_REGION_NOT_WORK_REGION,cat
REG_CITY_NOT_LIVE_CITY,cat
REG_CITY_NOT_WORK_CITY,cat
LIVE_CITY_NOT_WORK_CITY,cat
ORGANIZATION_TYPE,cat
EXT_SOURCE_1,num
EXT_SOURCE_2,num
EXT_SOURCE_3,num
APARTMENTS_AVG,num
BASEMENTAREA_AVG,num
YEARS_BEGINEXPLUATATION_AVG,num
YEARS_BUILD_AVG,num
COMMONAREA_AVG,num
ELEVATORS_AVG,num
ENTRANCES_AVG,num
FLOORSMAX_AVG,num
FLOORSMIN_AVG,num
LANDAREA_AVG,num
LIVINGAPARTMENTS_AVG,num
LIVINGAREA_AVG,num
NONLIVINGAPARTMENTS_AVG,num
NONLIVINGAREA_AVG,num
APARTMENTS_MODE,num
BASEMENTAREA_MODE,num
YEARS_BEGINEXPLUATATION_MODE,num
YEARS_BUILD_MODE,num
COMMONAREA_MODE,num
ELEVATORS_MODE,num
ENTRANCES_MODE,num
FLOORSMAX_MODE,num
FLOORSMIN_MODE,num
LANDAREA_MODE,num
LIVINGAPARTMENTS_MODE,num
LIVINGAREA_MODE,num
NONLIVINGAPARTMENTS_MODE,num
NONLIVINGAREA_MODE,num
APARTMENTS_MEDI,num
BASEMENTAREA_MEDI,num
YEARS_BEGINEXPLUATATION_MEDI,num
YEARS_BUILD_MEDI,num
COMMONAREA_MEDI,num
ELEVATORS_MEDI,num
ENTRANCES_MEDI,num
FLOORSMAX_MEDI,num
FLOORSMIN_MEDI,num
LANDAREA_MEDI,num
LIVINGAPARTMENTS_MEDI,num
LIVINGAREA_MEDI,num
NONLIVINGAPARTMENTS_MEDI,num
NONLIVINGAREA_MEDI,num
FONDKAPREMONT_MODE,cat
HOUSETYPE_MODE,cat
TOTALAREA_MODE,num
WALLSMATERIAL_MODE,cat
EMERGENCYSTATE_MODE,cat
OBS_30_CNT_SOCIAL_CIRCLE,ord
DEF_30_CNT_SOCIAL_CIRCLE,ord
OBS_60_CNT_SOCIAL_CIRCLE,ord
DEF_60_CNT_SOCIAL_CIRCLE,ord
DAYS_LAST_PHONE_CHANGE,num
FLAG_DOCUMENT_2,cat
FLAG_DOCUMENT_3,cat
FLAG_DOCUMENT_4,cat
FLAG_DOCUMENT_5,cat
FLAG_DOCUMENT_6,cat
FLAG_DOCUMENT_7,cat
FLAG_DOCUMENT_8,cat
FLAG_DOCUMENT_9,cat
FLAG_DOCUMENT_10,cat
FLAG_DOCUMENT_11,cat
FLAG_DOCUMENT_12,cat
FLAG_DOCUMENT_13,cat
FLAG_DOCUMENT_14,cat
FLAG_DOCUMENT_15,cat
FLAG_DOCUMENT_16,cat
FLAG_DOCUMENT_17,cat
FLAG_DOCUMENT_18,cat
FLAG_DOCUMENT_19,cat
FLAG_DOCUMENT_20,cat
FLAG_DOCUMENT_21,cat
AMT_REQ_CREDIT_BUREAU_HOUR,ord
AMT_REQ_CREDIT_BUREAU_DAY,ord
AMT_REQ_CREDIT_BUREAU_WEEK,ord
AMT_REQ_CREDIT_BUREAU_MON,ord
AMT_REQ_CREDIT_BUREAU_QRT,ord
AMT_REQ_CREDIT_BUREAU_YEAR,ord
